Altium Designer Pick and Place Locations
C:\Onedrive\04_Development\01_Project\Active\05_EEG_Measurement_Bd\Proj-EEG_Measurement_Bd\Rev_A\01_HW\EEG Measurement B'd\Project Outputs for EEG Measurement B'd\Pick Place\Pick Place for EEG_Measurement_Bd.csv

========================================================================================================================
File Design Information:

Date:       15-04-24
Time:       20:10
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R415","0R/2012","TopLayer","RES_2012_(0805_inch)","97.0000","19.6250","90","RES_0R/2012/0.125W"
"U403","INA826AIDR","TopLayer","IC_SOIC-8_(4.90x3.90mm)","60.2500","61.7500","0","35nA 40uV 1MHz Single SOIC-8  Instrumentation OpAmps ROHS"
"U402","TLV171IDBVR","TopLayer","SOT-23-5_(TI_DBV_PACKAGE)","99.6500","61.4500","0","Single, 36-V, 3-MHz, low-power operational amplifier for cost-sensitive applications"
"U401","TLV171IDBVR","TopLayer","SOT-23-5_(TI_DBV_PACKAGE)","92.2500","83.0000","0","Single, 36-V, 3-MHz, low-power operational amplifier for cost-sensitive applications"
"U400","TLV171IDBVR","TopLayer","SOT-23-5_(TI_DBV_PACKAGE)","70.0000","82.2500","0","Single, 36-V, 3-MHz, low-power operational amplifier for cost-sensitive applications"
"R414","39.2K/1608","TopLayer","RES_1608_(0603_inch)","104.0000","61.3500","270","RES_39.2K/1608/0.1W"
"R413","3.9M/1608","TopLayer","RES_1608_(0603_inch)","99.6500","57.0000","180","RES_3.9M/1608/0.1W"
"R412","1K/2012","TopLayer","RES_2012_(0805_inch)","92.2500","79.7500","180","RES_1K/2012/0.125W"
"R411","0R/2012","TopLayer","RES_2012_(0805_inch)","60.2500","57.7500","180","RES_0R/2012/0.125W"
"R410","2M/2012","TopLayer","RES_2012_(0805_inch)","82.7500","59.2500","90","RES_2M/2012/0.125W"
"R409","2M/2012","TopLayer","RES_2012_(0805_inch)","52.7500","80.5000","90","RES_2M/2012/0.125W"
"R408","100R/2012","TopLayer","RES_2012_(0805_inch)","54.7500","62.0000","90","RES_100R/2012/0.125W"
"R407","100R/2012","TopLayer","RES_2012_(0805_inch)","52.2500","62.0000","90","RES_100R/2012/0.125W"
"R406","1M/2012","TopLayer","RES_2012_(0805_inch)","88.2500","83.0000","270","RES_1M/2012/0.125W"
"R405","0R/2012","TopLayer","RES_2012_(0805_inch)","89.3750","57.7500","180","RES_0R/2012/0.125W"
"R404","0R/2012","TopLayer","RES_2012_(0805_inch)","68.2500","57.7500","180","RES_0R/2012/0.125W"
"R403","0R/2012","TopLayer","RES_2012_(0805_inch)","110.6250","57.7500","180","RES_0R/2012/0.125W"
"R402","0R/2012","TopLayer","RES_2012_(0805_inch)","45.6250","57.7500","180","RES_0R/2012/0.125W"
"R401","0R/2012","TopLayer","RES_2012_(0805_inch)","80.6250","79.0000","180","RES_0R/2012/0.125W"
"R400","0R/2012","TopLayer","RES_2012_(0805_inch)","59.3750","79.0000","180","RES_0R/2012/0.125W"
"C406","100nF/50V/1608","TopLayer","CAP_1608_(0603_INCH)","99.6500","64.5000","0","Ceramic CAP_100nF/50V/1608"
"C405","100nF/50V/1608","TopLayer","CAP_1608_(0603_INCH)","60.2500","65.5000","0","Ceramic CAP_100nF/50V/1608"
"C404","100nF/50V/1608","TopLayer","CAP_1608_(0603_INCH)","92.2500","86.0000","0","Ceramic CAP_100nF/50V/1608"
"C403","100nF/50V/1608","TopLayer","CAP_1608_(0603_INCH)","70.0000","85.2500","0","Ceramic CAP_100nF/50V/1608"
"C402","1nF/50V/1608","TopLayer","CAP_1608_(0603_INCH)","99.6500","58.7500","0","Ceramic CAP_1nF/50V/1608"
"C401","470nF/50V/2012","TopLayer","CAP_2012_(0805_INCH)","75.5500","64.0000","0","Ceramic CAP_470nF/50V/2012"
"C400","470nF/50V/2012","TopLayer","CAP_2012_(0805_INCH)","45.5000","85.2500","0","Ceramic CAP_470nF/50V/2012"
"U413","BU79100G-LATR","TopLayer","IC_SOT-23-6","131.0000","63.0000","90","Successive Approximation A/D Converter
12 bit, 0.5 MSPS to 1 MSPS, 2.7 V to 5.25 V,
1-channel, SPI Interface"
"U412","TLV171IDBVR","TopLayer","SOT-23-5_(TI_DBV_PACKAGE)","132.0000","29.5000","0","Single, 36-V, 3-MHz, low-power operational amplifier for cost-sensitive applications"
"U411","TLV171IDBVR","TopLayer","SOT-23-5_(TI_DBV_PACKAGE)","117.7500","29.5000","0","Single, 36-V, 3-MHz, low-power operational amplifier for cost-sensitive applications"
"U410","TLV171IDBVR","TopLayer","SOT-23-5_(TI_DBV_PACKAGE)","103.5000","29.5000","0","Single, 36-V, 3-MHz, low-power operational amplifier for cost-sensitive applications"
